Date,Transaction Description,Amount,Category,Company,Account Type,Expense By Category,Revenue By Category
2021-09-24,"'VERTICAL LEISURE L, SPARE PARTS , VIA MOBILE - LVP , FP 24/09/21 10 , 59060002032018000N",-48.29,Studio maintenance parts payment,Studio 224 ltd,Current account,-48.29,0
2021-09-27,"'STRIPE PAYMENTS UK, STRIPE , FP 27/09/21 0951 , PH737VTI1HML3JQR00",15.58,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-27,"'STRIPE PAYMENTS UK, STRIPE , FP 27/09/21 0947 , PH737VTI1HML49QR00",154.21,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-28,"'KALL KWIK PRINTING, INV 1409 , VIA MOBILE - LVP",-460.8,Printing Charges,Studio 224 ltd,Current account,-1010.4,0
2021-09-29,"'STRIPE PAYMENTS UK, STRIPE , FP 29/09/21 0850 , PH737VTI1HMLFRHN00",179.45,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-29,"'ELEANOR WHITE , SEPT INVOICE , VIA MOBILE - LVP , FP 29/09/21 10 , 03040326921650000N",-180,Salary,Studio 224 ltd,Current account,-8580.74,0
2021-09-29,"'TRACEY SIMMONDS , SEPTEMBER TEACHING, VIA MOBILE - LVP , FP 29/09/21 10 , 19072039303847000N",-350,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2021-09-30,"'STRIPE PAYMENTS UK, STRIPE , FP 30/09/21 0844 , PH737VTI1HMLKXQ800",31.16,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-09-30,'03SEP A/C 40863387,-1.05,Service Charges,Studio 224 ltd,Current account,-106.75,0
2021-09-30,"'ABIGAIL FAIRHEAD , SEPTEMBER TEACHING, VIA MOBILE - LVP , FP 30/09/21 10 , 36072709695146000N",-60,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2021-09-30,"'KATERINA STOJANOVI, KITTY SEPTEMBER , VIA MOBILE - LVP , FP 30/09/21 10 , 51175413202675000N",-400,Salary,Studio 224 ltd,Current account,-8580.74,0
2021-10-01,"'STRIPE PAYMENTS UK, STRIPE , FP 01/10/21 0841 , PH737VTI1HMLOUK400",9.66,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-01,"'KIMBERLEY COSSER T, KIM SEPTEMBER , VIA MOBILE - LVP , FP 30/09/21 10 , 15212439719308000N",-120,Salary,Studio 224 ltd,Current account,-8580.74,0
2021-10-04,"'STRIPE PAYMENTS UK, STRIPE , FP 04/10/21 0857 , PH737VTI1HMLUUL700",31.16,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-04,"'STRIPE PAYMENTS UK, STRIPE , FP 04/10/21 0854 , PH737VTI1HMLVNE600",15.58,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-04,"'STRIPE PAYMENTS UK, STRIPE , FP 04/10/21 0857 , PH737VTI1HMLUYUJ00",68.62,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-04,"'THE MULBERRY PARTN, NOVEMBER RENT , VIA MOBILE - LVP , FP 02/10/21 10 , 52131035277241000N",-1000,Rent Payment,Studio 224 ltd,Current account,-9500,0
2021-10-04,"'EMMA MUNCEY , REFUND , VIA MOBILE - LVP , FP 03/10/21 10 , 38102522645891000N",-30,Refund Payment / Fee,Studio 224 ltd,Current account,-115,0
2021-10-04,"'OLIVIA COTTON , OCTOBER CLEANING , VIA MOBILE - LVP , FP 03/10/21 10 , 46182013082905000N",-100,Salary,Studio 224 ltd,Current account,-8580.74,0
2021-10-05,"'STRIPE PAYMENTS UK, STRIPE , FP 05/10/21 0847 , PH737VTI1HMM1IZF00",58.96,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-06,"'STRIPE PAYMENTS UK, STRIPE , FP 06/10/21 0848 , PH737VTI1HMM5FU600",90.12,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-06,"'SHEWOLF.EMPOWERING, SEPT TEACHING , VIA MOBILE - LVP",-35,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2021-10-06,"'SAMANTHA BELTON , MONDAY 4TH CLEAN , VIA MOBILE - LVP",-15,Salary for cleaning,Studio 224 ltd,Current account,-272.5,0
2021-10-07,"'STRIPE PAYMENTS UK, STRIPE , FP 07/10/21 0841 , PH737VTI1HMM9SYP00",9.66,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-08,"'STRIPE PAYMENTS UK, STRIPE , FP 08/10/21 0844 , PH737VTI1HMMEICJ00",379.6,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-11,"'STRIPE PAYMENTS UK, STRIPE , FP 11/10/21 0845 , PH737VTI1HMMLFWF00",143.16,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-11,"'STRIPE PAYMENTS UK, STRIPE , FP 11/10/21 0844 , PH737VTI1HMML55J00",163.87,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-11,"'SAMANTHA BELTON , MONDAY 11TH CLEAN , VIA MOBILE - LVP",-30,Salary for cleaning,Studio 224 ltd,Current account,-272.5,0
2021-10-12,"'KALL KWIK PRINTING, INV 1457 , VIA MOBILE - LVP",-169.2,Printing Charges,Studio 224 ltd,Current account,-1010.4,0
2021-10-13,"'STRIPE PAYMENTS UK, STRIPE , FP 13/10/21 0844 , PH737VTI1HMMWFSH00",16.07,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-15,"'STRIPE PAYMENTS UK, STRIPE , FP 15/10/21 0846 , PH737VTI1HMN5RH100",15.58,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-15,"'SUSANNAH WHITE , WHITE HOODIE , FP 15/10/21 0814 , P1EHVKTNWXEV2L1L3N",35,Revenue,Studio 224 ltd,Current account,0,2157
2021-10-15,"'KATE DAWSON , OCTOBER TEACHING , VIA MOBILE - LVP , FP 15/10/21 10 , 39144132741899000N",-20,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2021-10-15,"'GOCARDLESS , SAGEACCOUNTI-8EAEB",-100,Sage Business Cloud Subscription,Studio 224 ltd,Current account,-1000,0
2021-10-18,"'STRIPE PAYMENTS UK, STRIPE , FP 18/10/21 0847 , PH737VTI1HMNAKEO00",197.59,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-18,"'STRIPE PAYMENTS UK, STRIPE , FP 18/10/21 0842 , PH737VTI1HMNC5Q600",182.01,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-18,"'SAMANTHA BELTON , MONDAY 18TH CLEAN , VIA MOBILE - LVP",-30,Salary for cleaning,Studio 224 ltd,Current account,-272.5,0
2021-10-19,"'7177 18OCT21 , WWW.ICO.ORG.UK , 03031231113 GB",-40,Payment to Info Commissioner Office,Studio 224 ltd,Current account,-40,0
2021-10-19,"'E.ON NEXT , A-F33260A7-002 , INITIAL PAYMENT",-12.08,Electricity and Gas Bill,Studio 224 ltd,Current account,-633.25,0
2021-10-20,"'STRIPE PAYMENTS UK, STRIPE , FP 20/10/21 0852 , PH737VTI1HMNN4IN00",202.12,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-21,"'ROLLAND B J , PINK HOODIE. BETH , FP 21/10/21 0836 , RP4679964091131600",35,Revenue,Studio 224 ltd,Current account,0,2157
2021-10-21,"'STRIPE PAYMENTS UK, STRIPE , FP 21/10/21 0850 , PH737VTI1HMNR2Y300",137.24,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-25,"'STRIPE PAYMENTS UK, STRIPE , FP 25/10/21 0845 , PH737VTI1HMO39ZR00",15.58,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-25,"'STRIPE PAYMENTS UK, STRIPE , FP 25/10/21 0846 , PH737VTI1HMO3CUX00",50.48,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-25,"'HEIDI HARRIS , OCTOBER TEACHING , VIA MOBILE - LVP",-100,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2021-10-26,"'STRIPE PAYMENTS UK, STRIPE , FP 26/10/21 0849 , PH737VTI1HMO94LX00",177.83,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-27,"'STRIPE PAYMENTS UK, STRIPE , FP 27/10/21 0846 , PH737VTI1HMOEU2S00",9.66,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-27,"'ELEANOR WHITE , OCT INVOICE , VIA MOBILE - LVP , FP 26/10/21 10 , 19211954894238000N",-327.99,Salary,Studio 224 ltd,Current account,-8580.74,0
2021-10-28,"'SHEWOLF.EMPOWERING, OCT TEACHING , VIA MOBILE - LVP",-60,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2021-10-28,"'SAMANTHA BELTON , MONDAY 25TH CLEAN , VIA MOBILE - LVP",-30,Salary for cleaning,Studio 224 ltd,Current account,-272.5,0
2021-10-28,"'EMILY YOUNG , OCT TEACHING , VIA MOBILE - LVP",-80,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2021-10-28,"'TRACEY SIMMONDS , OCTOBER TEACHING , VIA MOBILE - LVP , FP 28/10/21 10 , 13081741408926000N",-225,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2021-10-29,"'STRIPE PAYMENTS UK, STRIPE , FP 29/10/21 0838 , PH737VTI1HMOMSQU00",15.58,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2021-10-29,'01OCT A/C 40863387,-13.65,Service Charges,Studio 224 ltd,Current account,-106.75,0
2021-10-29,"'ABIGAIL FAIRHEAD , OCTOBER TEACHING , VIA MOBILE - LVP , FP 29/10/21 10 , 16063014120211000N",-180,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2022-05-06 00:00:00,"'ELISHA BAILEY , ELISHA BAILEY , FP 06/05/22 0700 , 00151542632BBFMDJG",40,Revenue,Studio 224 ltd,Current account,0,2157
2022-05-09 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 09/05/22 0856 , PH737VTI1HMA69XN00",575.22,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2022-05-09 00:00:00,"'PPL PRS LIMITED , SIN2066522 , VIA MOBILE - LVP , FP 07/05/22 10 , 22080341629101000N",-158.47,Music License charges,Studio 224 ltd,Current account,-158.47,0
2022-05-10 00:00:00,"'KALL KWIK PRINTING, INV 2202 , VIA MOBILE - LVP",-42,Printing Charges,Studio 224 ltd,Current account,-1010.4,0
2022-05-16 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 16/05/22 0853 , PH737VTI1HMB1DCH00",735.16,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2022-05-16 00:00:00,"'GOCARDLESS , SAGEACCOUNTI-8EAEB",-100,Sage Business Cloud Subscription,Studio 224 ltd,Current account,-1000,0
2022-05-18 00:00:00,"'ELAINE HOBBS , REFUND 121 , VIA MOBILE - LVP",-25,Refund Payment / Fee,Studio 224 ltd,Current account,-115,0
2022-05-19 00:00:00,"'SAUNDERS MISS K L , KIRSTY - PRACTISE , VIA MOBILE - PYMT",10,Revenue,Studio 224 ltd,Current account,0,2157
2022-05-23 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 23/05/22 0840 , PH737VTI1HMBVDDV00",726.08,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2022-05-24 00:00:00,"'GRACE FISHER , MAY TEACHING , VIA MOBILE - LVP",-200,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2022-05-24 00:00:00,"'TRACEY SIMMONDS , MAY INVOICE , VIA MOBILE - LVP , FP 24/05/22 10 , 50101957254932000N",-230,Salary,Studio 224 ltd,Current account,-8580.74,0
2022-05-24 00:00:00,"'E.ON NEXT , A-F33260A7-002",-167.54,Electricity and Gas Bill,Studio 224 ltd,Current account,-633.25,0
2022-05-26 00:00:00,"'KIMBERLEY COSSER T, KIM MAY , VIA MOBILE - LVP , FP 26/05/22 10 , 31100930476042000N",-40,Salary,Studio 224 ltd,Current account,-8580.74,0
2022-05-26 00:00:00,"'JJ THOMAS , CLASS REFUND , VIA MOBILE - PYMT , FP 26/05/22 10 , 52102634690447000N",-5,Refund Payment / Fee,Studio 224 ltd,Current account,-115,0
2022-05-30 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 30/05/22 0841 , PH737VTI1HMCSTVB00",455.72,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2022-05-31 00:00:00,'29APR A/C 40863387,-7.7,Service Charges,Studio 224 ltd,Current account,-106.75,0
2022-05-31 00:00:00,"'WESLEY BIGGS , 224 , VIA MOBILE - LVP",-1000,Unclassified,Studio 224 ltd,Current account,-1000,0
2022-05-31 00:00:00,"'EMILY YOUNG , MAY TEACHING , VIA MOBILE - LVP",-180,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2022-06-01 00:00:00,"'BRADFORD JH , JB 01 , VIA MOBILE - PYMT",140,Revenue,Studio 224 ltd,Current account,0,2157
2022-06-01 00:00:00,"'KALL KWIK PRINTING, INV 2289 , VIA MOBILE - PYMT",-134.4,Printing Charges,Studio 224 ltd,Current account,-1010.4,0
2022-06-01 00:00:00,"'THE MULBERRY PARTN, JUNE RENT , VIA MOBILE - PYMT , FP 01/06/22 40 , 57023741521583000N",-1000,Rent Payment,Studio 224 ltd,Current account,-9500,0
2022-06-06 00:00:00,"'ELISHA BAILEY , ELISHA BAILEY , FP 05/06/22 0902 , 00151542632BBFMZSP",40,Revenue,Studio 224 ltd,Current account,0,2157
2022-06-06 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 06/06/22 0845 , PH737VTI1HMDG2MQ00",261.68,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2022-06-06 00:00:00,"'MOLE VALLEY DISTRI, 101171511 , VIA MOBILE - LVP , FP 05/06/22 10 , 50085231149006000N",-200,Expense,Studio 224 ltd,Current account,-2241.23,0
2022-06-06 00:00:00,"'EMILY DODD , MAY TEACHING , VIA MOBILE - LVP , FP 02/06/22 10 , 17225324836720000N",-225,Salary for Teaching,Studio 224 ltd,Current account,-5056,0
2022-06-07 00:00:00,"'OLIVIA COTTON , MAY CLEANING , VIA MOBILE - LVP , FP 07/06/22 10 , 57131730818497000N",-40,Salary,Studio 224 ltd,Current account,-8580.74,0
2022-06-10 00:00:00,"'KATERINA STOJANOVI, KITTY MAY , VIA MOBILE - LVP , FP 10/06/22 10 , 30063315505085000N",-385,Salary,Studio 224 ltd,Current account,-8580.74,0
2022-06-13 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 13/06/22 0841 , PH737VTI1HMEH0HX00",1067.67,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2022-06-15 00:00:00,"'GOCARDLESS , SAGEACCOUNTI-8EAEB",-100,Sage Business Cloud Subscription,Studio 224 ltd,Current account,-1000,0
2022-06-16 00:00:00,"'E.ON NEXT , A-F33260A7-002",-13.54,Electricity and Gas Bill,Studio 224 ltd,Current account,-633.25,0
2022-06-17 00:00:00,"'C LEIGH , FP 16/06/22 2242 , 600000000951714921",16,Revenue,Studio 224 ltd,Current account,0,2157
2022-06-20 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 20/06/22 0852 , PH737VTI1HMFCRGB00",568.32,Sales via Stripe,Studio 224 ltd,Current account,0,30568.74
2022-06-20 00:00:00,"'S RENNALLS , 19 JUNE , FP 18/06/22 0015 , PGD5RM5Q5AHEIPT6FR",60,Revenue,Studio 224 ltd,Current account,0,2157
2022-06-20 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 20/06/22 0852 , PH737VTI1HMFCRGB00",568.32,Sales via Stripe,Studio 224 ltd,Current account ,0,30568.74
2022-06-20 00:00:00,"'S RENNALLS , 19 JUNE , FP 18/06/22 0015 , PGD5RM5Q5AHEIPT6FR",60,Revenue,Studio 224 ltd,Current account ,0,2157
2022-06-23 00:00:00,"'C LEIGH , POLE , FP 23/06/22 1757 , 200000000951232591",16,Pole Fee,Studio 224 ltd,Current account ,0,46
2022-06-24 00:00:00,"'TRACEY SIMMONDS , JUNE INVOICE , VIA MOBILE - LVP , FP 24/06/22 10 , 03084221057201000N",-87.27,Salary,Studio 224 ltd,Current account ,-8580.74,0
2022-06-27 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 27/06/22 0855 , PH737VTI1HMGADFF00",648.38,Sales via Stripe,Studio 224 ltd,Current account ,0,30568.74
2022-06-28 00:00:00,"'BRADFORD JH , JB 01 , VIA MOBILE - PYMT",75,Revenue,Studio 224 ltd,Current account ,0,2157
2022-06-28 00:00:00,"'EMILY YOUNG , JUNE TEACHING , VIA MOBILE - LVP",-230,Salary for Teaching,Studio 224 ltd,Current account ,-5056,0
2022-06-28 00:00:00,"'GRACE FISHER , JUNE TEACHING , VIA MOBILE - LVP",-200,Salary for Teaching,Studio 224 ltd,Current account ,-5056,0
2022-06-28 00:00:00,"'KIMBERLEY COSSER T, KIM JUNE , VIA MOBILE - LVP , FP 28/06/22 10 , 10170649186879000N",-60,Salary,Studio 224 ltd,Current account ,-8580.74,0
2022-06-29 00:00:00,"'BRIDGER H A , HOLLI BRIDGER , FP 29/06/22 0740 , 773228030470926001",25,Revenue,Studio 224 ltd,Current account ,0,2157
2022-06-29 00:00:00,"'CORBOULD-DAWE N , FELICITY C-D POLE , FP 28/06/22 2132 , RP4679966522186400",25,Pole Fee,Studio 224 ltd,Current account ,0,46
2022-06-29 00:00:00,"'BIGGS W B , CAPITAL SHARES , VIA MOBILE - LVP",5,Share Capital,Studio 224 ltd,Current account ,0,5
2022-06-30 00:00:00,'01JUN A/C 40863387,-9.8,Service Charges,Studio 224 ltd,Current account ,-106.75,0
2022-03-01 00:00:00,"'THE MULBERRY PARTN, MARCH RENT , VIA MOBILE - PYMT , FP 01/03/22 40 , 58023636073729000N",-1050,Rent Payment,Studio 224 ltd,Current account ,-9500,0
2022-03-01 00:00:00,"'KATERINA STOJANOVI, KITTY FEBRUARY , VIA MOBILE - PYMT , FP 01/03/22 10 , 09122409510556000N",-360,Salary,Studio 224 ltd,Current account ,-8580.74,0
2022-03-04 00:00:00,"'ELISHA BAILEY , ELISHA BAILEY , FP 04/03/22 1107 , 00151542632BBFKGHS",40,Revenue,Studio 224 ltd,Current account ,0,2157
2022-03-07 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 07/03/22 0836 , PH737VTI1HM2GRXY00",1217.88,Sales via Stripe,Studio 224 ltd,Current account ,0,30568.74
2022-03-11 00:00:00,"'ELISHA BAILEY , ELISHA BAILEY , FP 11/03/22 1540 , 00151542632BBFKLSS",40,Revenue,Studio 224 ltd,Current account ,0,2157
2022-03-11 00:00:00,"'EMILY DODD , FEB TEACHING , VIA MOBILE - LVP , FP 11/03/22 10 , 29103838498594000N",-250,Salary for Teaching,Studio 224 ltd,Current account ,-5056,0
2022-03-14 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 14/03/22 0837 , PH737VTI1HM39O7C00",581.54,Sales via Stripe,Studio 224 ltd,Current account ,0,30568.74
2022-03-15 00:00:00,"'KERRY COKE-SMYTH , MARCH TEACHING , VIA MOBILE - LVP , FP 15/03/22 10 , 51112444057239000N",-60,Salary for Teaching,Studio 224 ltd,Current account ,-5056,0
2022-03-15 00:00:00,"'GOCARDLESS , SAGEACCOUNTI-8EAEB",-100,Sage Business Cloud Subscription,Studio 224 ltd,Current account ,-1000,0
2022-03-16 00:00:00,"'E.ON NEXT , A-F33260A7-002",-92.79,Electricity and Gas Bill,Studio 224 ltd,Current account ,-633.25,0
2022-03-17 00:00:00,"'SURREY HILLS , SHP01 , FP 17/03/22 0907 , 770351147090713001",100,Revenue,Studio 224 ltd,Current account ,0,2157
2022-03-21 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 21/03/22 0840 , PH737VTI1HM47PBZ00",455.22,Sales via Stripe,Studio 224 ltd,Current account ,0,30568.74
2022-03-21 00:00:00,"'ELISHA BAILEY , ELISHA BAILEY , FP 20/03/22 1128 , 00151542632BBFKRFM",40,Revenue,Studio 224 ltd,Current account ,0,2157
2022-03-24 00:00:00,"'GRACE FISHER , MARCH TEACHING , VIA MOBILE - LVP",-250,Salary for Teaching,Studio 224 ltd,Current account ,-5056,0
2022-03-28 00:00:00,"'ORMROD L , LILY CIRCUS , FP 28/03/22 1529 , 359593149251823001",30,Revenue,Studio 224 ltd,Current account ,0,2157
2022-03-28 00:00:00,"'STRIPE PAYMENTS UK, STRIPE , FP 28/03/22 0841 , PH737VTI1HM534EY00",374.16,Sales via Stripe,Studio 224 ltd,Current account ,0,30568.74
2022-03-28 00:00:00,"'ELISHA BAILEY , ELISHA BAILEY , FP 27/03/22 1947 , 00151542632BBFKWLP",40,Revenue,Studio 224 ltd,Current account ,0,2157
2022-03-28 00:00:00,"'TRACEY SIMMONDS , MARCH CLEANING , VIA MOBILE - LVP , FP 28/03/22 10 , 28132525087240000N",-50,Salary,Studio 224 ltd,Current account ,-8580.74,0
2022-03-29 00:00:00,"'EMILY DODD , MARCH TEACHING , VIA MOBILE - LVP , FP 29/03/22 10 , 16132619270761000N",-350,Salary for Teaching,Studio 224 ltd,Current account ,-5056,0
2022-03-29 00:00:00,"'MOLE VALLEY DISTRI, 101171511 APRIL , VIA MOBILE - LVP , FP 29/03/22 10 , 28075608097378000N",-201.53,Salary,Studio 224 ltd,Current account ,-8580.74,0
2022-03-30 00:00:00,"'KATERINA STOJANOVI, KITTY APRIL , VIA MOBILE - PYMT , FP 30/03/22 10 , 64075246984940000N",-300,Salary,Studio 224 ltd,Current account ,-8580.74,0
2022-03-30 00:00:00,"'KIMBERLEY COSSER T, KIM MARCH , VIA MOBILE - LVP , FP 30/03/22 10 , 34052552121221000N",-380,Salary,Studio 224 ltd,Current account ,-8580.74,0
2022-03-31 00:00:00,'04MAR A/C 40863387,-9.8,Service Charges,Studio 224 ltd,Current account ,-106.75,0
2022-03-31 00:00:00,"'SHEWOLF.EMPOWERING, MARCH TEACHING , VIA MOBILE - PYMT",-45,Salary for Teaching,Studio 224 ltd,Current account ,-5056,0
